epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,66.4597,0.26259,0.65519,0.14503,0.54095,0.86753,0.99815,1,0.995,0.99435,0.99815,1,0.995,0.95768,0.19646,0.2828,0.02427,0.28574,0.73856,0.000517059,0.000517059,0.000517059
29,68.7166,0.26743,0.67397,0.13783,0.48996,0.86936,0.99797,1,0.995,0.99332,0.99797,1,0.995,0.98068,0.17536,0.20004,0.0148,0.2576,0.73489,0.000495062,0.000495062,0.000495062
30,70.8317,0.25111,0.5314,0.13252,0.48417,0.8648,0.99841,1,0.995,0.99393,0.99841,1,0.995,0.9666,0.1888,0.28674,0.01411,0.24456,0.73059,0.000473064,0.000473064,0.000473064
31,72.9806,0.24805,0.56819,0.12792,0.48255,0.87305,0.99828,1,0.995,0.99457,0.99828,1,0.995,0.98082,0.15479,0.22845,0.01568,0.22146,0.72454,0.000451066,0.000451066,0.000451066
32,75.2157,0.24234,0.56296,0.12886,0.4394,0.84784,0.99799,1,0.995,0.99174,0.99799,1,0.995,0.98175,0.18047,0.21696,0.04376,0.22812,0.72755,0.000429068,0.000429068,0.000429068
33,77.3499,0.24598,0.49958,0.12743,0.44297,0.8497,0.99741,1,0.995,0.99268,0.99741,1,0.995,0.95883,0.15831,0.18809,0.02519,0.20323,0.72466,0.00040707,0.00040707,0.00040707
34,79.4412,0.24817,0.62298,0.1237,0.46016,0.84789,0.99818,1,0.995,0.99344,0.99818,1,0.995,0.98059,0.17217,0.18038,0.01894,0.21751,0.72973,0.000385073,0.000385073,0.000385073
35,81.6465,0.23868,0.48773,0.12455,0.42782,0.86706,0.99802,1,0.995,0.99349,0.99802,1,0.995,0.97844,0.16162,0.23052,0.0253,0.21039,0.72305,0.000363075,0.000363075,0.000363075
36,83.8721,0.23702,0.46539,0.12407,0.43253,0.86102,0.99816,1,0.995,0.99353,0.99816,1,0.995,0.98186,0.1359,0.17736,0.02121,0.20724,0.72025,0.000341077,0.000341077,0.000341077
37,86.1107,0.22315,0.47472,0.12741,0.42647,0.85651,0.9982,1,0.995,0.9932,0.9982,1,0.995,0.97996,0.15456,0.20963,0.02495,0.20704,0.73348,0.000319079,0.000319079,0.000319079
38,88.3404,0.21923,0.51351,0.11318,0.41771,0.84414,0.99838,1,0.995,0.99368,0.99838,1,0.995,0.97605,0.15871,0.27114,0.01873,0.21675,0.72829,0.000297081,0.000297081,0.000297081
39,90.6062,0.22357,0.55369,0.11758,0.39908,0.84946,0.99859,1,0.995,0.99441,0.99859,1,0.995,0.98101,0.14043,0.19901,0.01905,0.19452,0.72539,0.000275084,0.000275084,0.000275084
40,93.5003,0.21764,0.4873,0.12817,0.40694,0.85772,0.99835,1,0.995,0.99452,0.99835,1,0.995,0.98203,0.14172,0.17022,0.01759,0.18552,0.72241,0.000253086,0.000253086,0.000253086
41,96.2636,0.16953,0.34448,0.04696,0.34982,0.80071,0.99795,1,0.995,0.99264,0.99795,1,0.995,0.95932,0.15064,0.24456,0.02008,0.21348,0.72626,0.000231088,0.000231088,0.000231088
42,98.5626,0.18054,0.34132,0.0362,0.35419,0.81518,0.9979,1,0.995,0.99452,0.9979,1,0.995,0.97932,0.14445,0.18258,0.01996,0.2403,0.72605,0.00020909,0.00020909,0.00020909
43,100.827,0.15686,0.24705,0.03291,0.33268,0.79075,0.99834,1,0.995,0.99366,0.99834,1,0.995,0.97847,0.15416,0.16517,0.01542,0.19939,0.72292,0.000187092,0.000187092,0.000187092
44,103.231,0.16133,0.2419,0.04381,0.32092,0.81588,0.99861,1,0.995,0.9926,0.99861,1,0.995,0.94004,0.13216,0.26346,0.01712,0.18379,0.72202,0.000165095,0.000165095,0.000165095
45,105.516,0.15919,0.24804,0.03907,0.31671,0.79918,0.99855,1,0.995,0.99447,0.99855,1,0.995,0.96777,0.13393,0.16698,0.01845,0.20055,0.72118,0.000143097,0.000143097,0.000143097
46,107.763,0.16291,0.2371,0.0304,0.30671,0.79294,0.9985,1,0.995,0.99449,0.9985,1,0.995,0.98046,0.12998,0.17458,0.01619,0.1914,0.71793,0.000121099,0.000121099,0.000121099
47,109.958,0.14898,0.19647,0.03866,0.30951,0.79019,0.99846,1,0.995,0.99451,0.99846,1,0.995,0.98002,0.12987,0.13096,0.01251,0.19589,0.71899,9.91012e-05,9.91012e-05,9.91012e-05
48,112.191,0.14285,0.15412,0.03109,0.29161,0.79944,0.99853,1,0.995,0.99427,0.99853,1,0.995,0.97855,0.1088,0.12179,0.01167,0.17566,0.71625,7.71034e-05,7.71034e-05,7.71034e-05
49,114.382,0.13776,0.1326,0.02757,0.2798,0.77224,0.99853,1,0.995,0.99449,0.99853,1,0.995,0.9783,0.105,0.11851,0.01133,0.16957,0.71571,5.51056e-05,5.51056e-05,5.51056e-05
50,116.569,0.1268,0.12473,0.0226,0.27043,0.78939,0.9985,1,0.995,0.99451,0.9985,1,0.995,0.97796,0.10621,0.1161,0.01102,0.16597,0.71493,3.31078e-05,3.31078e-05,3.31078e-05
