epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.97672,0.77496,2.96133,0.3259,3.17159,1.07811,0.40415,0.52323,0.48223,0.40875,0.40415,0.52323,0.48223,0.38103,0.62855,0.97376,0.10131,2.86621,0.85187,0.00026664,0.00026664,0.00026664
2,7.554,0.72407,2.14658,0.27681,2.33144,1.07283,0.3622,1,0.72861,0.67016,0.3622,1,0.72861,0.5082,0.43086,1.21092,0.09695,2.07963,0.80744,0.000533611,0.000533611,0.000533611
3,10.0191,0.70862,2.01463,0.26028,1.80222,1.03636,0.58346,1,0.92072,0.77334,0.58346,1,0.92072,0.57681,0.68031,1.73155,0.05692,1.83418,0.83647,0.000789583,0.000789583,0.000789583
4,12.636,0.65835,2.02311,0.24394,1.44922,0.99549,0.81033,1,0.995,0.86245,0.81033,1,0.995,0.70677,0.68242,1.20862,0.09018,1.18909,0.87002,0.00103456,0.00103456,0.00103456
5,15.1024,0.669,2.00452,0.23676,1.26399,0.99744,0.91554,1,0.995,0.88973,0.91554,1,0.995,0.61065,0.51829,1.49039,0.08572,1.03439,0.83735,0.00102301,0.00102301,0.00102301
6,17.5407,0.63285,1.60423,0.2357,1.15175,1.00335,0.99802,1,0.995,0.9253,0.99802,1,0.995,0.80992,0.46287,0.9039,0.07912,0.78762,0.84564,0.00100101,0.00100101,0.00100101
7,19.9325,0.58638,1.45546,0.22005,1.01313,0.96046,0.99804,1,0.995,0.88395,0.99804,1,0.995,0.74686,0.56809,0.96935,0.04302,0.59789,0.96573,0.000979013,0.000979013,0.000979013
8,22.4514,0.56654,1.36544,0.23125,0.94781,0.96769,0.99666,1,0.995,0.93746,0.99666,1,0.995,0.89795,0.40636,0.58216,0.04496,0.55858,0.84022,0.000957015,0.000957015,0.000957015
9,24.8891,0.55631,1.32657,0.22683,0.9359,0.97291,0.99752,1,0.995,0.9303,0.99752,1,0.995,0.87579,0.43025,0.59157,0.05372,0.49702,0.85587,0.000935018,0.000935018,0.000935018
10,27.3741,0.52996,1.32092,0.21545,0.87835,0.96037,0.99806,1,0.995,0.94321,0.99806,1,0.995,0.912,0.38096,0.44479,0.07387,0.47159,0.79406,0.00091302,0.00091302,0.00091302
11,31.5398,0.50204,1.31177,0.20213,0.87867,0.94593,0.99812,1,0.995,0.9344,0.99812,1,0.995,0.9188,0.40332,0.52432,0.03697,0.4315,0.80311,0.000891022,0.000891022,0.000891022
12,34.0915,0.52716,1.20171,0.19335,0.83795,0.94998,0.99612,1,0.995,0.93868,0.99612,1,0.995,0.8843,0.3877,0.47288,0.03369,0.44141,0.7942,0.000869024,0.000869024,0.000869024
13,36.7073,0.49769,1.10323,0.19847,0.80588,0.94737,0.9977,1,0.995,0.94397,0.9977,1,0.995,0.85001,0.37887,0.55591,0.04273,0.43988,0.79329,0.000847026,0.000847026,0.000847026
14,39.0921,0.48547,1.04946,0.18914,0.79208,0.94062,0.9979,1,0.995,0.95688,0.9979,1,0.995,0.83656,0.34854,0.64556,0.03834,0.42257,0.77151,0.000825029,0.000825029,0.000825029
15,41.516,0.46436,1.01902,0.20245,0.75401,0.93675,0.99559,1,0.995,0.95085,0.99559,1,0.995,0.91732,0.36725,0.4549,0.04482,0.39592,0.78062,0.000803031,0.000803031,0.000803031
16,43.8186,0.44261,1.00101,0.1985,0.69977,0.92778,0.99837,1,0.995,0.97138,0.99837,1,0.995,0.91177,0.31735,0.43589,0.05238,0.36932,0.78365,0.000781033,0.000781033,0.000781033
17,46.1035,0.42764,0.96217,0.18863,0.69679,0.92408,0.99813,1,0.995,0.94726,0.99813,1,0.995,0.92559,0.36136,0.35267,0.04042,0.37854,0.7878,0.000759035,0.000759035,0.000759035
