epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,48.4179,0.4205,0.89478,0.19253,0.69389,0.93362,0.99637,1,0.995,0.98245,0.99637,1,0.995,0.95148,0.28047,0.32236,0.02953,0.34501,0.75112,0.000737037,0.000737037,0.000737037
19,50.8235,0.41429,0.93785,0.18477,0.64053,0.91285,0.9975,1,0.995,0.95031,0.9975,1,0.995,0.92652,0.29634,0.36355,0.02455,0.35493,0.76066,0.00071504,0.00071504,0.00071504
20,53.2803,0.42055,0.94534,0.18704,0.68247,0.92294,0.99796,1,0.995,0.94987,0.99796,1,0.995,0.94985,0.34361,0.4027,0.04101,0.34752,0.78341,0.000693042,0.000693042,0.000693042
21,55.7685,0.39917,0.83165,0.17484,0.60172,0.90147,0.99732,1,0.995,0.98319,0.99732,1,0.995,0.96594,0.27638,0.32999,0.04175,0.30809,0.76907,0.000671044,0.000671044,0.000671044
22,58.2335,0.37449,0.71047,0.17288,0.62828,0.89474,0.99792,1,0.995,0.97649,0.99792,1,0.995,0.93571,0.25272,0.34551,0.04583,0.3003,0.7437,0.000649046,0.000649046,0.000649046
23,60.7148,0.40742,0.90621,0.1644,0.65765,0.91719,0.9978,1,0.995,0.9697,0.9978,1,0.995,0.9783,0.31626,0.30832,0.03845,0.32761,0.76858,0.000627048,0.000627048,0.000627048
24,65.2067,0.3828,0.87931,0.18535,0.6087,0.91368,0.99743,1,0.995,0.96982,0.99743,1,0.995,0.97973,0.23761,0.26097,0.02338,0.28152,0.74048,0.000605051,0.000605051,0.000605051
25,67.6342,0.36397,0.65548,0.16552,0.56773,0.90503,0.99829,1,0.995,0.97671,0.99829,1,0.995,0.95667,0.23936,0.29003,0.02741,0.27536,0.74756,0.000583053,0.000583053,0.000583053
26,70.0186,0.36065,0.76497,0.16852,0.59358,0.89163,0.99811,1,0.995,0.99005,0.99811,1,0.995,0.97551,0.22727,0.23375,0.03633,0.28114,0.74141,0.000561055,0.000561055,0.000561055
27,72.4301,0.35594,0.68153,0.16314,0.59436,0.88507,0.99813,1,0.995,0.97893,0.99813,1,0.995,0.97836,0.2325,0.23658,0.03551,0.25546,0.7427,0.000539057,0.000539057,0.000539057
28,74.7321,0.36062,0.72144,0.16901,0.57329,0.89899,0.99818,1,0.995,0.99191,0.99818,1,0.995,0.90672,0.21976,0.35947,0.0394,0.24385,0.74679,0.000517059,0.000517059,0.000517059
29,77.1438,0.34634,0.7233,0.16278,0.573,0.90128,0.99831,1,0.995,0.98174,0.99831,1,0.995,0.95192,0.25773,0.33781,0.02522,0.26297,0.74432,0.000495062,0.000495062,0.000495062
30,79.5376,0.34562,0.68488,0.16127,0.54908,0.89815,0.99826,1,0.995,0.99029,0.99826,1,0.995,0.97904,0.22942,0.29908,0.02178,0.25573,0.73898,0.000473064,0.000473064,0.000473064
31,81.8965,0.34959,0.66015,0.14879,0.55533,0.89161,0.99846,1,0.995,0.97065,0.99846,1,0.995,0.92815,0.26809,0.35218,0.02147,0.28882,0.74407,0.000451066,0.000451066,0.000451066
32,84.3401,0.33813,0.58877,0.1674,0.53482,0.88883,0.99819,1,0.995,0.99354,0.99819,1,0.995,0.97842,0.23412,0.27643,0.02319,0.27872,0.74855,0.000429068,0.000429068,0.000429068
33,86.7814,0.34098,0.66561,0.15891,0.53162,0.88779,0.99831,1,0.995,0.99256,0.99831,1,0.995,0.97571,0.20699,0.20954,0.0274,0.25727,0.73579,0.00040707,0.00040707,0.00040707
34,89.1512,0.32393,0.56828,0.1538,0.49685,0.88528,0.99807,1,0.995,0.97909,0.99807,1,0.995,0.95005,0.27114,0.28281,0.02694,0.26699,0.74681,0.000385073,0.000385073,0.000385073
35,91.5551,0.31544,0.59934,0.15626,0.52054,0.88086,0.99759,1,0.995,0.98358,0.99759,1,0.995,0.97745,0.21733,0.23077,0.03085,0.25804,0.73305,0.000363075,0.000363075,0.000363075
36,93.9496,0.31017,0.59235,0.15507,0.52354,0.88917,0.99765,1,0.995,0.98791,0.99765,1,0.995,0.97919,0.19978,0.20565,0.02655,0.24058,0.73155,0.000341077,0.000341077,0.000341077
37,96.3429,0.29672,0.50786,0.1537,0.48373,0.88144,0.99792,1,0.995,0.99139,0.99792,1,0.995,0.97685,0.19562,0.25869,0.02329,0.24365,0.73026,0.000319079,0.000319079,0.000319079
38,100.306,0.29971,0.57132,0.15271,0.49722,0.88613,0.99812,1,0.995,0.99005,0.99812,1,0.995,0.98035,0.20522,0.21209,0.02538,0.24626,0.73465,0.000297081,0.000297081,0.000297081
39,102.621,0.28698,0.46394,0.14998,0.49536,0.88265,0.99804,1,0.995,0.99291,0.99804,1,0.995,0.9807,0.18733,0.19497,0.02957,0.24037,0.72721,0.000275084,0.000275084,0.000275084
40,105.031,0.28796,0.51234,0.15258,0.48433,0.88837,0.99824,1,0.995,0.9878,0.99824,1,0.995,0.98013,0.19027,0.16854,0.03221,0.22707,0.72747,0.000253086,0.000253086,0.000253086
41,107.683,0.22593,0.2054,0.05365,0.35654,0.82415,0.99846,1,0.995,0.99188,0.99846,1,0.995,0.97945,0.16795,0.225,0.0326,0.22127,0.72818,0.000231088,0.000231088,0.000231088
42,110.067,0.22895,0.19877,0.04275,0.34494,0.81285,0.99804,1,0.995,0.99023,0.99804,1,0.995,0.98011,0.19539,0.17147,0.03149,0.24814,0.72534,0.00020909,0.00020909,0.00020909
43,112.414,0.21692,0.16715,0.0374,0.33467,0.82596,0.99844,1,0.995,0.99167,0.99844,1,0.995,0.9814,0.16409,0.15645,0.02411,0.20905,0.72239,0.000187092,0.000187092,0.000187092
44,114.84,0.21437,0.14177,0.04268,0.32252,0.80704,0.9984,1,0.995,0.99312,0.9984,1,0.995,0.97778,0.20524,0.16283,0.02234,0.23551,0.73548,0.000165095,0.000165095,0.000165095
45,117.222,0.22065,0.17633,0.03643,0.32276,0.80533,0.99823,1,0.995,0.99459,0.99823,1,0.995,0.98158,0.18039,0.15259,0.02111,0.21607,0.72332,0.000143097,0.000143097,0.000143097
46,119.593,0.21994,0.14549,0.04143,0.31602,0.8134,0.99837,1,0.995,0.99228,0.99837,1,0.995,0.98084,0.17684,0.13951,0.02031,0.21031,0.71956,0.000121099,0.000121099,0.000121099
47,122.053,0.20891,0.12347,0.04135,0.31163,0.80969,0.99849,1,0.995,0.99412,0.99849,1,0.995,0.97883,0.1711,0.14933,0.01929,0.21911,0.71921,9.91012e-05,9.91012e-05,9.91012e-05
48,124.478,0.19451,0.12407,0.03616,0.30191,0.80007,0.99849,1,0.995,0.99366,0.99849,1,0.995,0.97834,0.15651,0.13141,0.02014,0.19365,0.71481,7.71034e-05,7.71034e-05,7.71034e-05
49,126.919,0.18082,0.09789,0.03609,0.29698,0.81083,0.99848,1,0.995,0.99292,0.99848,1,0.995,0.97836,0.14531,0.13044,0.01893,0.18814,0.71716,5.51056e-05,5.51056e-05,5.51056e-05
50,129.592,0.18329,0.119,0.03548,0.29379,0.80574,0.99844,1,0.995,0.99359,0.99844,1,0.995,0.97835,0.14963,0.13033,0.01886,0.18471,0.71709,3.31078e-05,3.31078e-05,3.31078e-05
