epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.01217,0.51633,1.93532,0.25895,3.05198,1.02467,0.39999,0.8,0.6067,0.55348,0.39999,0.8,0.6067,0.3141,0.36901,1.47838,0.09163,2.27533,0.8416,0.00026664,0.00026664,0.00026664
2,9.03557,0.52909,1.91872,0.24249,2.40854,1.03661,0.55344,0.79357,0.75318,0.64185,0.55344,0.79357,0.75318,0.4341,0.54774,1.39403,0.14033,1.71969,1.02713,0.000533611,0.000533611,0.000533611
3,12.0012,0.54433,1.90328,0.23039,2.12493,1.02382,0.72793,0.8007,0.89295,0.85586,0.72793,0.8007,0.89295,0.48705,0.35665,1.79942,0.06787,1.44753,0.87259,0.000789583,0.000789583,0.000789583
4,16.006,0.53355,1.74501,0.21388,1.7889,0.99657,0.99143,0.8,0.89295,0.82975,0.99143,0.8,0.89295,0.4673,0.38056,1.8105,0.03401,1.22296,0.84052,0.00103456,0.00103456,0.00103456
5,18.7571,0.50492,1.72377,0.22227,1.48211,0.95754,0.98908,0.8,0.89295,0.83548,0.98908,0.8,0.89295,0.61371,0.4261,1.36169,0.02678,1.11687,0.83932,0.00102301,0.00102301,0.00102301
6,21.7909,0.4846,1.75699,0.22527,1.42728,0.95942,0.8273,1,0.97408,0.9172,0.8273,1,0.97408,0.69133,0.36911,1.25386,0.02971,0.85267,0.79467,0.00100101,0.00100101,0.00100101
7,24.6006,0.47749,1.30855,0.20093,1.23059,0.97794,0.98454,1,0.995,0.9386,0.98454,1,0.995,0.78916,0.34963,0.90229,0.02935,0.75366,0.80759,0.000979013,0.000979013,0.000979013
8,27.5305,0.48156,1.19857,0.18832,1.10475,0.95988,0.9853,1,0.995,0.91231,0.9853,1,0.995,0.84194,0.45828,0.69091,0.03305,0.68714,0.86219,0.000957015,0.000957015,0.000957015
9,30.5188,0.45739,1.09396,0.18174,1.09223,0.95858,0.99381,1,0.995,0.97463,0.99381,1,0.995,0.92139,0.28787,0.49729,0.05373,0.56226,0.80143,0.000935018,0.000935018,0.000935018
10,33.3482,0.42782,1.1237,0.17138,0.98086,0.93075,0.99562,1,0.995,0.96729,0.99562,1,0.995,0.8897,0.3056,0.51493,0.04895,0.52243,0.79279,0.00091302,0.00091302,0.00091302
11,36.3395,0.40382,1.08141,0.16359,0.91621,0.92086,0.99668,1,0.995,0.9686,0.99668,1,0.995,0.93064,0.27491,0.43748,0.01479,0.45901,0.78048,0.000891022,0.000891022,0.000891022
12,39.2882,0.39546,0.97382,0.15924,0.86765,0.91189,0.99842,1,0.995,0.97519,0.99842,1,0.995,0.90587,0.27598,0.46962,0.02929,0.40307,0.77043,0.000869024,0.000869024,0.000869024
13,42.1755,0.37103,0.99428,0.16169,0.87155,0.91356,0.9984,1,0.995,0.99073,0.9984,1,0.995,0.93035,0.27001,0.43683,0.05711,0.38997,0.77922,0.000847026,0.000847026,0.000847026
14,45.1364,0.3659,1.05425,0.16135,0.78956,0.9057,0.99675,1,0.995,0.98548,0.99675,1,0.995,0.95449,0.26458,0.35915,0.02927,0.39172,0.76258,0.000825029,0.000825029,0.000825029
15,49.2088,0.35873,1.06974,0.17216,0.77943,0.90189,0.99601,1,0.995,0.99099,0.99601,1,0.995,0.85878,0.21589,0.67156,0.03369,0.35064,0.75535,0.000803031,0.000803031,0.000803031
16,52.153,0.36614,1.07447,0.16484,0.73603,0.89503,0.99813,1,0.995,0.98898,0.99813,1,0.995,0.87905,0.24373,0.52489,0.03659,0.33072,0.77417,0.000781033,0.000781033,0.000781033
17,55.1543,0.34783,0.96225,0.15067,0.70458,0.89026,0.99821,1,0.995,0.99217,0.99821,1,0.995,0.94273,0.22045,0.35765,0.01923,0.32974,0.75284,0.000759035,0.000759035,0.000759035
18,57.9328,0.32902,0.83867,0.1678,0.68386,0.89032,0.99856,1,0.995,0.97155,0.99856,1,0.995,0.91782,0.23147,0.43262,0.03803,0.29028,0.7495,0.000737037,0.000737037,0.000737037
19,60.7261,0.34139,0.78456,0.15092,0.61888,0.88965,0.9982,1,0.995,0.98884,0.9982,1,0.995,0.95968,0.24165,0.32112,0.03248,0.32464,0.75966,0.00071504,0.00071504,0.00071504
20,63.693,0.3251,0.85573,0.15655,0.65257,0.87389,0.99841,1,0.995,0.99417,0.99841,1,0.995,0.95696,0.18631,0.29199,0.02271,0.26924,0.74587,0.000693042,0.000693042,0.000693042
21,66.4922,0.29506,0.70868,0.14348,0.56196,0.86616,0.99846,1,0.995,0.99051,0.99846,1,0.995,0.96088,0.20682,0.30339,0.0253,0.27289,0.75337,0.000671044,0.000671044,0.000671044
22,69.3814,0.29011,0.6498,0.1468,0.58408,0.86726,0.99776,1,0.995,0.99445,0.99776,1,0.995,0.92979,0.19099,0.39254,0.01887,0.27057,0.74615,0.000649046,0.000649046,0.000649046
23,72.2382,0.31021,0.84472,0.13297,0.61783,0.88323,0.9977,1,0.995,0.99357,0.9977,1,0.995,0.93264,0.15215,0.33478,0.03107,0.25598,0.73662,0.000627048,0.000627048,0.000627048
24,75.0241,0.29125,0.79084,0.1616,0.59001,0.8944,0.99814,1,0.995,0.99323,0.99814,1,0.995,0.97759,0.17578,0.30589,0.03141,0.24809,0.73621,0.000605051,0.000605051,0.000605051
25,78.0148,0.2686,0.64572,0.14623,0.52728,0.85575,0.99834,1,0.995,0.99415,0.99834,1,0.995,0.95946,0.15849,0.24532,0.02375,0.22965,0.7409,0.000583053,0.000583053,0.000583053
26,81.9546,0.2733,0.67319,0.14353,0.56299,0.87842,0.99833,1,0.995,0.99372,0.99833,1,0.995,0.95899,0.1568,0.27062,0.01975,0.22931,0.73561,0.000561055,0.000561055,0.000561055
27,84.8007,0.27528,0.65469,0.14435,0.56412,0.87012,0.99797,1,0.995,0.99391,0.99797,1,0.995,0.96692,0.14192,0.28925,0.0375,0.23852,0.73395,0.000539057,0.000539057,0.000539057
28,87.7486,0.26283,0.70152,0.14506,0.53675,0.87425,0.99799,1,0.995,0.97487,0.99799,1,0.995,0.95799,0.22153,0.29193,0.02456,0.25919,0.74627,0.000517059,0.000517059,0.000517059
29,90.52,0.26679,0.61977,0.14095,0.53873,0.87289,0.99804,1,0.995,0.99084,0.99804,1,0.995,0.92733,0.1787,0.31414,0.02883,0.21394,0.73941,0.000495062,0.000495062,0.000495062
30,93.2563,0.2561,0.53514,0.12774,0.50654,0.86975,0.99837,1,0.995,0.99318,0.99837,1,0.995,0.97926,0.16559,0.23002,0.02483,0.23048,0.74317,0.000473064,0.000473064,0.000473064
31,96.2078,0.25858,0.59638,0.12149,0.51161,0.86912,0.99845,1,0.995,0.99455,0.99845,1,0.995,0.97925,0.16263,0.24809,0.02609,0.24813,0.74294,0.000451066,0.000451066,0.000451066
32,99.0049,0.23389,0.49086,0.14711,0.48416,0.85995,0.99851,1,0.995,0.99245,0.99851,1,0.995,0.93042,0.17541,0.31229,0.02303,0.21464,0.74245,0.000429068,0.000429068,0.000429068
33,101.862,0.24634,0.57431,0.13156,0.46174,0.85193,0.99817,1,0.995,0.99109,0.99817,1,0.995,0.97446,0.15432,0.2689,0.04689,0.22964,0.73799,0.00040707,0.00040707,0.00040707
34,104.841,0.24265,0.45036,0.12469,0.44886,0.85778,0.9982,1,0.995,0.99397,0.9982,1,0.995,0.97829,0.16547,0.1919,0.0258,0.2151,0.7413,0.000385073,0.000385073,0.000385073
35,107.534,0.23829,0.51093,0.12728,0.47311,0.86382,0.99781,1,0.995,0.99456,0.99781,1,0.995,0.97697,0.14143,0.18182,0.02062,0.20281,0.73218,0.000363075,0.000363075,0.000363075
36,110.45,0.23403,0.52682,0.12944,0.46397,0.86226,0.9984,1,0.995,0.99418,0.9984,1,0.995,0.97796,0.14393,0.16256,0.01546,0.17979,0.7288,0.000341077,0.000341077,0.000341077
37,114.481,0.22718,0.44931,0.12538,0.42365,0.86004,0.99824,1,0.995,0.99414,0.99824,1,0.995,0.97759,0.15871,0.17964,0.01741,0.17656,0.72902,0.000319079,0.000319079,0.000319079
38,117.274,0.23676,0.49251,0.12737,0.43819,0.86896,0.9984,1,0.995,0.99417,0.9984,1,0.995,0.97281,0.14085,0.18792,0.02293,0.18104,0.72904,0.000297081,0.000297081,0.000297081
39,120.276,0.21947,0.40696,0.12509,0.43965,0.86852,0.99825,1,0.995,0.99138,0.99825,1,0.995,0.97764,0.16092,0.18599,0.0212,0.19102,0.73246,0.000275084,0.000275084,0.000275084
40,123.117,0.23139,0.49205,0.12677,0.42618,0.85994,0.99826,1,0.995,0.99189,0.99826,1,0.995,0.97897,0.13128,0.1789,0.01843,0.17842,0.73005,0.000253086,0.000253086,0.000253086
41,126.139,0.17334,0.1984,0.03869,0.35248,0.80769,0.99813,1,0.995,0.9938,0.99813,1,0.995,0.97969,0.12236,0.17677,0.01875,0.17491,0.72665,0.000231088,0.000231088,0.000231088
42,129.149,0.17797,0.21438,0.03125,0.3447,0.80655,0.99795,1,0.995,0.99358,0.99795,1,0.995,0.97894,0.14483,0.1781,0.01724,0.19475,0.72751,0.00020909,0.00020909,0.00020909
43,131.958,0.16697,0.17033,0.02905,0.33148,0.79427,0.99854,1,0.995,0.99455,0.99854,1,0.995,0.9784,0.11513,0.13903,0.01478,0.15782,0.72286,0.000187092,0.000187092,0.000187092
